Time (s),Speed (m/s)
19.3,0
19.32,0
19.34,0
19.36,0
19.38,0
19.4,0
19.42,0
19.44,0
19.46,0
19.48,0
19.5,0
19.52,0
19.54,0
19.56,0
19.58,0
19.6,0
19.62,0
19.64,0
19.66,0
19.68,0
19.7,0
19.72,0
19.74,0
19.76,0
19.78,0
19.8,0
19.82,0
19.84,0
19.86,0
19.88,0
19.9,0
19.92,0
19.94,0
19.96,0
19.98,0
20,0
20.02,0.0268
20.04,0.0536
20.06,0.0805
20.08,0.1073
20.1,0.1341
20.12,0.1609
20.14,0.1878
20.16,0.2146
20.18,0.2414
20.2,0.2682
20.22,0.295
20.24,0.3219
20.26,0.3487
20.28,0.3755
20.3,0.4023
20.32,0.4292
20.34,0.456
20.36,0.4828
20.38,0.5096
20.4,0.5364
20.42,0.5633
20.44,0.5901
20.46,0.6169
20.48,0.6437
20.5,0.6706
20.52,0.6974
20.54,0.7242
20.56,0.751
20.58,0.7778
20.6,0.8047
20.62,0.8315
20.64,0.8583
20.66,0.8851
20.68,0.912
20.7,0.9388
20.72,0.9656
20.74,0.9924
20.76,1.0193
20.78,1.0461
20.8,1.0729
20.82,1.0997
20.84,1.1265
20.86,1.1534
20.88,1.1802
20.9,1.207
20.92,1.2338
20.94,1.2607
20.96,1.2875
20.98,1.3143
21,1.3411
21.02,1.367
21.04,1.393
21.06,1.4189
21.08,1.4448
21.1,1.4708
21.12,1.4967
21.14,1.5226
21.16,1.5485
21.18,1.5745
21.2,1.6004
21.22,1.6263
21.24,1.6523
21.26,1.6782
21.28,1.7041
21.3,1.73
21.32,1.756
21.34,1.7819
21.36,1.8078
21.38,1.8338
21.4,1.8597
21.42,1.8856
21.44,1.9115
21.46,1.9375
21.48,1.9634
21.5,1.9893
21.52,2.0153
21.54,2.0412
21.56,2.0671
21.58,2.093
21.6,2.119
21.62,2.1449
21.64,2.1708
21.66,2.1968
21.68,2.2227
21.7,2.2486
21.72,2.2745
21.74,2.3005
21.76,2.3264
21.78,2.3523
21.8,2.3783
21.82,2.4042
21.84,2.4301
21.86,2.456
21.88,2.482
21.9,2.5079
21.92,2.5338
21.94,2.5598
21.96,2.5857
21.98,2.6116
22,2.6375
22.02,2.6617
22.04,2.6858
22.06,2.71
22.08,2.7341
22.1,2.7582
22.12,2.7824
22.14,2.8065
22.16,2.8307
22.18,2.8548
22.2,2.8789
22.22,2.9031
22.24,2.9272
22.26,2.9514
22.28,2.9755
22.3,2.9996
22.32,3.0238
22.34,3.0479
22.36,3.0721
22.38,3.0962
22.4,3.1203
22.42,3.1445
22.44,3.1686
22.46,3.1928
22.48,3.2169
22.5,3.241
22.52,3.2652
22.54,3.2893
22.56,3.3135
22.58,3.3376
22.6,3.3617
22.62,3.3859
22.64,3.41
22.66,3.4342
22.68,3.4583
22.7,3.4824
22.72,3.5066
22.74,3.5307
22.76,3.5549
22.78,3.579
22.8,3.6031
22.82,3.6273
22.84,3.6514
22.86,3.6756
22.88,3.6997
22.9,3.7238
22.92,3.748
22.94,3.7721
22.96,3.7963
22.98,3.8204
23,3.8445
23.02,3.8705
23.04,3.8964
23.06,3.9223
23.08,3.9483
23.1,3.9742
23.12,4.0001
23.14,4.026
23.16,4.052
23.18,4.0779
23.2,4.1038
23.22,4.1298
23.24,4.1557
23.26,4.1816
23.28,4.2075
23.3,4.2335
23.32,4.2594
23.34,4.2853
23.36,4.3113
23.38,4.3372
23.4,4.3631
23.42,4.389
23.44,4.415
23.46,4.4409
23.48,4.4668
23.5,4.4928
23.52,4.5187
23.54,4.5446
23.56,4.5705
23.58,4.5965
23.6,4.6224
23.62,4.6483
23.64,4.6743
23.66,4.7002
23.68,4.7261
23.7,4.752
23.72,4.778
23.74,4.8039
23.76,4.8298
23.78,4.8557
23.8,4.8817
23.82,4.9076
23.84,4.9335
23.86,4.9595
23.88,4.9854
23.9,5.0113
23.92,5.0372
23.94,5.0632
23.96,5.0891
23.98,5.115
24,5.141
24.02,5.166
24.04,5.191
24.06,5.2161
24.08,5.2411
24.1,5.2661
24.12,5.2912
24.14,5.3162
24.16,5.3412
24.18,5.3663
24.2,5.3913
24.22,5.4163
24.24,5.4414
24.26,5.4664
24.28,5.4914
24.3,5.5165
24.32,5.5415
24.34,5.5665
24.36,5.5916
24.38,5.6166
24.4,5.6416
24.42,5.6667
24.44,5.6917
24.46,5.7167
24.48,5.7418
24.5,5.7668
24.52,5.7919
24.54,5.8169
24.56,5.8419
24.58,5.867
24.6,5.892
24.62,5.917
24.64,5.9421
24.66,5.9671
24.68,5.9921
24.7,6.0172
24.72,6.0422
24.74,6.0672
24.76,6.0923
24.78,6.1173
24.8,6.1423
24.82,6.1674
24.84,6.1924
24.86,6.2174
24.88,6.2425
24.9,6.2675
24.92,6.2925
24.94,6.3176
24.96,6.3426
24.98,6.3676
25,6.3927
25.02,6.4159
25.04,6.4392
25.06,6.4624
25.08,6.4857
25.1,6.5089
25.12,6.5321
25.14,6.5554
25.16,6.5786
25.18,6.6019
25.2,6.6251
25.22,6.6484
25.24,6.6716
25.26,6.6949
25.28,6.7181
25.3,6.7414
25.32,6.7646
25.34,6.7879
25.36,6.8111
25.38,6.8343
25.4,6.8576
25.42,6.8808
25.44,6.9041
25.46,6.9273
25.48,6.9506
25.5,6.9738
25.52,6.9971
25.54,7.0203
25.56,7.0436
25.58,7.0668
25.6,7.0901
25.62,7.1133
25.64,7.1365
25.66,7.1598
25.68,7.183
25.7,7.2063
25.72,7.2295
25.74,7.2528
25.76,7.276
25.78,7.2993
25.8,7.3225
25.82,7.3458
25.84,7.369
25.86,7.3923
25.88,7.4155
25.9,7.4387
25.92,7.462
25.94,7.4852
25.96,7.5085
25.98,7.5317
26,7.555
26.02,7.5586
26.04,7.5621
26.06,7.5657
26.08,7.5693
26.1,7.5729
26.12,7.5764
26.14,7.58
26.16,7.5836
26.18,7.5872
26.2,7.5907
26.22,7.5943
26.24,7.5979
26.26,7.6015
26.28,7.605
26.3,7.6086
26.32,7.6122
26.34,7.6158
26.36,7.6193
26.38,7.6229
26.4,7.6265
26.42,7.6301
26.44,7.6337
26.46,7.6372
26.48,7.6408
26.5,7.6444
26.52,7.648
26.54,7.6515
26.56,7.6551
26.58,7.6587
26.6,7.6623
26.62,7.6658
26.64,7.6694
26.66,7.673
26.68,7.6766
26.7,7.6801
26.72,7.6837
26.74,7.6873
26.76,7.6909
26.78,7.6945
26.8,7.698
26.82,7.7016
26.84,7.7052
26.86,7.7088
26.88,7.7123
26.9,7.7159
26.92,7.7195
26.94,7.7231
26.96,7.7266
26.98,7.7302
27,7.7338
27.02,7.7409
27.04,7.7481
27.06,7.7552
27.08,7.7624
27.1,7.7696
27.12,7.7767
27.14,7.7839
27.16,7.791
27.18,7.7982
27.2,7.8053
27.22,7.8125
27.24,7.8196
27.26,7.8268
27.28,7.8339
27.3,7.8411
27.32,7.8482
27.34,7.8554
27.36,7.8625
27.38,7.8697
27.4,7.8768
27.42,7.884
27.44,7.8912
27.46,7.8983
27.48,7.9055
27.5,7.9126
27.52,7.9198
27.54,7.9269
27.56,7.9341
27.58,7.9412
27.6,7.9484
27.62,7.9555
27.64,7.9627
27.66,7.9698
27.68,7.977
27.7,7.9841
27.72,7.9913
27.74,7.9984
27.76,8.0056
27.78,8.0127
27.8,8.0199
27.82,8.0271
27.84,8.0342
27.86,8.0414
27.88,8.0485
27.9,8.0557
27.92,8.0628
27.94,8.07
27.96,8.0771
27.98,8.0843
28,8.0914
28.02,8.1147
28.04,8.1379
28.06,8.1612
28.08,8.1844
28.1,8.2077
28.12,8.2309
28.14,8.2541
28.16,8.2774
28.18,8.3006
28.2,8.3239
28.22,8.3471
28.24,8.3704
28.26,8.3936
28.28,8.4169
28.3,8.4401
28.32,8.4634
28.34,8.4866
28.36,8.5099
28.38,8.5331
28.4,8.5563
28.42,8.5796
28.44,8.6028
28.46,8.6261
28.48,8.6493
28.5,8.6726
28.52,8.6958
28.54,8.7191
28.56,8.7423
28.58,8.7656
28.6,8.7888
28.62,8.8121
28.64,8.8353
28.66,8.8585
28.68,8.8818
28.7,8.905
28.72,8.9283
28.74,8.9515
28.76,8.9748
28.78,8.998
28.8,9.0213
28.82,9.0445
28.84,9.0678
28.86,9.091
28.88,9.1143
28.9,9.1375
28.92,9.1607
28.94,9.184
28.96,9.2072
28.98,9.2305
29,9.2537
29.02,9.2627
29.04,9.2716
29.06,9.2806
29.08,9.2895
29.1,9.2984
29.12,9.3074
29.14,9.3163
29.16,9.3253
29.18,9.3342
29.2,9.3431
29.22,9.3521
29.24,9.361
29.26,9.37
29.28,9.3789
29.3,9.3878
29.32,9.3968
29.34,9.4057
29.36,9.4147
29.38,9.4236
29.4,9.4325
29.42,9.4415
29.44,9.4504
29.46,9.4594
29.48,9.4683
29.5,9.4772
29.52,9.4862
29.54,9.4951
29.56,9.5041
29.58,9.513
29.6,9.522
29.62,9.5309
29.64,9.5398
29.66,9.5488
29.68,9.5577
29.7,9.5667
29.72,9.5756
29.74,9.5845
29.76,9.5935
29.78,9.6024
29.8,9.6114
29.82,9.6203
29.84,9.6292
29.86,9.6382
29.88,9.6471
29.9,9.6561
29.92,9.665
29.94,9.6739
29.96,9.6829
29.98,9.6918
30,9.7008
30.02,9.707
30.04,9.7133
30.06,9.7195
30.08,9.7258
30.1,9.7321
30.12,9.7383
30.14,9.7446
30.16,9.7508
30.18,9.7571
30.2,9.7634
30.22,9.7696
30.24,9.7759
30.26,9.7821
30.28,9.7884
30.3,9.7946
30.32,9.8009
30.34,9.8072
30.36,9.8134
30.38,9.8197
30.4,9.8259
30.42,9.8322
30.44,9.8385
30.46,9.8447
30.48,9.851
30.5,9.8572
30.52,9.8635
30.54,9.8697
30.56,9.876
30.58,9.8823
30.6,9.8885
30.62,9.8948
30.64,9.901
30.66,9.9073
30.68,9.9136
30.7,9.9198
30.72,9.9261
30.74,9.9323
30.76,9.9386
30.78,9.9449
30.8,9.9511
30.82,9.9574
30.84,9.9636
30.86,9.9699
30.88,9.9761
30.9,9.9824
30.92,9.9887
30.94,9.9949
30.96,10.0012
30.98,10.0074
31,10.0137
31.02,10.0146
31.04,10.0155
31.06,10.0164
31.08,10.0173
31.1,10.0182
31.12,10.0191
31.14,10.02
31.16,10.0208
31.18,10.0217
31.2,10.0226
31.22,10.0235
31.24,10.0244
31.26,10.0253
31.28,10.0262
31.3,10.0271
31.32,10.028
31.34,10.0289
31.36,10.0298
31.38,10.0307
31.4,10.0316
31.42,10.0325
31.44,10.0334
31.46,10.0343
31.48,10.0352
31.5,10.036
31.52,10.0369
31.54,10.0378
31.56,10.0387
31.58,10.0396
31.6,10.0405
31.62,10.0414
31.64,10.0423
31.66,10.0432
31.68,10.0441
31.7,10.045
31.72,10.0459
31.74,10.0468
31.76,10.0477
31.78,10.0486
31.8,10.0495
31.82,10.0504
31.84,10.0512
31.86,10.0521
31.88,10.053
31.9,10.0539
31.92,10.0548
31.94,10.0557
31.96,10.0566
31.98,10.0575
32,10.0584
32.02,10.0548
32.04,10.0512
32.06,10.0477
32.08,10.0441
32.1,10.0405
32.12,10.0369
32.14,10.0334
32.16,10.0298
32.18,10.0262
32.2,10.0226
32.22,10.0191
32.24,10.0155
32.26,10.0119
32.28,10.0083
32.3,10.0048
32.32,10.0012
32.34,9.9976
32.36,9.994
32.38,9.9904
32.4,9.9869
32.42,9.9833
32.44,9.9797
32.46,9.9761
32.48,9.9726
32.5,9.969
32.52,9.9654
32.54,9.9618
32.56,9.9583
32.58,9.9547
32.6,9.9511
32.62,9.9475
32.64,9.944
32.66,9.9404
32.68,9.9368
32.7,9.9332
32.72,9.9297
32.74,9.9261
32.76,9.9225
32.78,9.9189
32.8,9.9153
32.82,9.9118
32.84,9.9082
32.86,9.9046
32.88,9.901
32.9,9.8975
32.92,9.8939
32.94,9.8903
32.96,9.8867
32.98,9.8832
33,9.8796
33.02,9.8742
33.04,9.8689
33.06,9.8635
33.08,9.8581
33.1,9.8528
33.12,9.8474
33.14,9.842
33.16,9.8367
33.18,9.8313
33.2,9.8259
33.22,9.8206
33.24,9.8152
33.26,9.8098
33.28,9.8045
33.3,9.7991
33.32,9.7938
33.34,9.7884
33.36,9.783
33.38,9.7777
33.4,9.7723
33.42,9.7669
33.44,9.7616
33.46,9.7562
33.48,9.7508
33.5,9.7455
33.52,9.7401
33.54,9.7347
33.56,9.7294
33.58,9.724
33.6,9.7186
33.62,9.7133
33.64,9.7079
33.66,9.7026
33.68,9.6972
33.7,9.6918
33.72,9.6865
33.74,9.6811
33.76,9.6757
33.78,9.6704
33.8,9.665
33.82,9.6596
33.84,9.6543
33.86,9.6489
33.88,9.6435
33.9,9.6382
33.92,9.6328
33.94,9.6275
33.96,9.6221
33.98,9.6167
34,9.6114
34.02,9.606
34.04,9.6006
34.06,9.5953
34.08,9.5899
34.1,9.5845
34.12,9.5792
34.14,9.5738
34.16,9.5684
34.18,9.5631
34.2,9.5577
34.22,9.5524
34.24,9.547
34.26,9.5416
34.28,9.5363
34.3,9.5309
34.32,9.5255
34.34,9.5202
34.36,9.5148
34.38,9.5094
34.4,9.5041
34.42,9.4987
34.44,9.4933
34.46,9.488
34.48,9.4826
34.5,9.4772
34.52,9.4719
34.54,9.4665
34.56,9.4612
34.58,9.4558
34.6,9.4504
34.62,9.4451
34.64,9.4397
34.66,9.4343
34.68,9.429
34.7,9.4236
34.72,9.4182
34.74,9.4129
34.76,9.4075
34.78,9.4021
34.8,9.3968
34.82,9.3914
34.84,9.3861
34.86,9.3807
34.88,9.3753
34.9,9.37
34.92,9.3646
34.94,9.3592
34.96,9.3539
34.98,9.3485
35,9.3431
35.02,9.3387
35.04,9.3342
35.06,9.3297
35.08,9.3253
35.1,9.3208
35.12,9.3163
35.14,9.3118
35.16,9.3074
35.18,9.3029
35.2,9.2984
35.22,9.294
35.24,9.2895
35.26,9.285
35.28,9.2806
35.3,9.2761
35.32,9.2716
35.34,9.2671
35.36,9.2627
35.38,9.2582
35.4,9.2537
35.42,9.2493
35.44,9.2448
35.46,9.2403
35.48,9.2358
35.5,9.2314
35.52,9.2269
35.54,9.2224
35.56,9.218
35.58,9.2135
35.6,9.209
35.62,9.2046
35.64,9.2001
35.66,9.1956
35.68,9.1911
35.7,9.1867
35.72,9.1822
35.74,9.1777
35.76,9.1733
35.78,9.1688
35.8,9.1643
35.82,9.1598
35.84,9.1554
35.86,9.1509
35.88,9.1464
35.9,9.142
35.92,9.1375
35.94,9.133
35.96,9.1286
35.98,9.1241
36,9.1196
36.02,9.1143
36.04,9.1089
36.06,9.1035
36.08,9.0982
36.1,9.0928
36.12,9.0874
36.14,9.0821
36.16,9.0767
36.18,9.0713
36.2,9.066
36.22,9.0606
36.24,9.0552
36.26,9.0499
36.28,9.0445
36.3,9.0391
36.32,9.0338
36.34,9.0284
36.36,9.0231
36.38,9.0177
36.4,9.0123
36.42,9.007
36.44,9.0016
36.46,8.9962
36.48,8.9909
36.5,8.9855
36.52,8.9801
36.54,8.9748
36.56,8.9694
36.58,8.964
36.6,8.9587
36.62,8.9533
36.64,8.948
36.66,8.9426
36.68,8.9372
36.7,8.9319
36.72,8.9265
36.74,8.9211
36.76,8.9158
36.78,8.9104
36.8,8.905
36.82,8.8997
36.84,8.8943
36.86,8.8889
36.88,8.8836
36.9,8.8782
36.92,8.8728
36.94,8.8675
36.96,8.8621
36.98,8.8568
37,8.8514
37.02,8.8264
37.04,8.8013
37.06,8.7763
37.08,8.7513
37.1,8.7262
37.12,8.7012
37.14,8.6762
37.16,8.6511
37.18,8.6261
37.2,8.601
37.22,8.576
37.24,8.551
37.26,8.5259
37.28,8.5009
37.3,8.4759
37.32,8.4508
37.34,8.4258
37.36,8.4008
37.38,8.3757
37.4,8.3507
37.42,8.3257
37.44,8.3006
37.46,8.2756
37.48,8.2506
37.5,8.2255
37.52,8.2005
37.54,8.1755
37.56,8.1504
37.58,8.1254
37.6,8.1004
37.62,8.0753
37.64,8.0503
37.66,8.0253
37.68,8.0002
37.7,7.9752
37.72,7.9502
37.74,7.9251
37.76,7.9001
37.78,7.8751
37.8,7.85
37.82,7.825
37.84,7.8
37.86,7.7749
37.88,7.7499
37.9,7.7249
37.92,7.6998
37.94,7.6748
37.96,7.6497
37.98,7.6247
38,7.5997
