Time,Speed (m/s)
314,31.73984
315,31.829248
316,32.231584
317,32.455104
318,32.902144
319,33.438592
320,33.840928
321,34.556192
322,35.047936
323,35.450272
324,34.958528
325,33.97504
326,33.796224
327,34.153856
328,34.690304
329,34.86912
330,35.360864
331,35.53968
332,35.718496
333,35.718496
334,35.897312
335,35.897312
336,35.53968
337,35.53968
338,35.360864
339,35.182048
340,34.690304
341,34.19856
342,33.215072
343,32.455104
344,31.650432
345,30.219904
346,29.683456
347,29.817568
348,29.549344
349,29.459936
350,29.594048
351,29.549344
352,29.996384
353,30.130496
354,30.532832
355,30.532832
356,30.711648
357,30.488128
358,30.443424
359,30.39872
360,29.996384
361,29.683456
362,29.549344
363,29.370528
364,29.50464
365,29.683456
366,29.50464
367,29.638752
368,29.95168
369,30.1752
370,30.354016
371,30.443424
372,30.62224
373,30.801056
374,30.666944
375,31.024576
376,31.024576
377,31.024576
378,31.2928
379,31.471616
380,31.561024
381,31.695136
382,31.426912
383,31.561024
384,31.426912
385,31.158688
386,31.248096
387,31.337504
388,31.113984
389,30.979872
390,31.248096
391,31.158688
392,31.06928
393,31.248096
394,31.382208
395,31.382208
396,31.382208
397,31.73984
398,31.650432
399,31.695136
400,31.605728
401,31.695136
402,31.829248
403,31.873952
404,31.650432
405,31.829248
406,32.052768
407,32.142176
408,32.455104
409,32.320992
410,32.320992
411,32.231584
412,32.18688
413,32.142176
414,32.455104
415,32.544512
416,32.723328
417,32.231584
418,31.96336
419,31.695136
420,31.471616
421,31.51632
422,31.695136
423,31.382208
424,31.73984
425,31.382208
426,31.426912
427,30.890464
428,30.756352
429,30.488128
430,30.532832
431,30.488128
432,30.264608
433,30.085792
434,30.1752
435,30.219904
436,30.219904
437,30.041088
438,29.95168
439,29.638752
440,29.772864
441,29.594048
442,29.683456
443,29.459936
444,29.549344
445,29.28112
446,27.805888
447,27.805888
448,27.448256
449,27.314144
450,27.448256
451,27.314144
452,27.448256
453,27.448256
454,27.627072
455,27.627072
456,27.627072
457,27.627072
458,27.805888
459,27.627072
460,27.805888
461,27.984704
462,27.805888
463,27.984704
464,27.805888
465,27.984704
466,27.984704
467,28.16352
468,27.984704
469,27.805888
470,27.314144
471,26.59888
472,26.285952
473,25.391872
474,24.900128
475,24.184864
476,23.02256
477,21.994368
478,21.815552
479,21.279104
480,20.072096
481,18.55216
482,16.629888
483,15.467584
484,14.75232
485,13.053568
486,9.968992
487,7.912608
488,7.733792
489,6.25856
490,4.4704
491,2.68224
492,0.89408
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0.089408
502,1.966976
503,4.515104
504,6.973824
505,9.298432
506,11.220704
507,12.383008
508,12.606528
509,11.980672
510,11.086592
511,10.013696
512,7.644384
513,5.051552
514,3.084576
515,3.3528
516,4.962144
517,6.884416
518,8.896096
519,10.818368
520,12.114784
521,12.74064
522,12.606528
523,11.444224
524,9.700768
525,7.733792
526,5.409184
527,3.3528
528,2.592832
529,1.072896
530,0.536448
531,0.849376
532,2.995168
533,5.275072
534,7.510272
535,9.700768
536,11.578336
537,12.383008
538,12.51712
539,12.114784
540,10.907776
541,9.030208
542,6.795008
543,4.157472
544,2.2352
545,1.296416
546,1.072896
547,3.755136
548,6.03504
549,7.957312
550,9.924288
551,11.712448
552,13.4112
553,13.321792
554,11.62304
555,9.521952
556,7.242048
557,5.096256
558,2.950464
559,1.162304
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0.134112
569,2.861056
570,5.677408
571,8.583168
572,10.639552
573,12.606528
574,15.601696
575,16.764
576,18.015712
577,20.1168
578,22.307296
579,23.067264
580,22.888448
581,22.620224
582,22.307296
583,21.368512
584,19.937984
585,18.418048
586,16.898112
587,14.931136
588,12.51712
589,10.594848
590,8.404352
591,5.766816
592,2.771648
593,0.983488
594,0
595,0
596,0
597,0
598,0
599,0
600,0
